dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),num_topics
dataset_name,RF,LCB,0,73.00327897071838,0.47267226971040466,0.4706458471713768,0.014408811261104295,25
dataset_name,RF,LCB,1,81.10538387298584,0.44944983281943496,0.45586792482195004,0.01419525060983639,49
dataset_name,RF,LCB,2,68.66305708885193,0.4349968361464011,0.44148671777531173,0.020283340188050294,7
dataset_name,RF,LCB,3,76.03477644920349,0.48324120244976926,0.47210233563864745,0.037244170684137975,6
dataset_name,RF,LCB,4,75.85691618919373,0.4442071330063032,0.4270054708390497,0.036702782753942724,5
dataset_name,RF,LCB,5,70.75969243049622,0.47208389073465246,0.470922423449809,0.03190492752936378,17
dataset_name,RF,LCB,6,68.08925700187683,0.45372205466336296,0.45421013153978074,0.026359821786274964,10
dataset_name,RF,LCB,7,56.40920567512512,0.45405746414537207,0.45217784285591084,0.03086642448829263,5
dataset_name,RF,LCB,8,79.81476068496704,0.4453036197477444,0.45451763073615065,0.0167693029013868,3
dataset_name,RF,LCB,9,56.73930907249451,0.4853620246663513,0.4618469689073004,0.03702116163587087,6
dataset_name,RF,LCB,10,64.10596799850464,0.43132529055122354,0.45422163513527336,0.035245545005390365,6
dataset_name,RF,LCB,11,62.90226769447327,0.4436884493550745,0.45520766515569794,0.02547082754875157,6
dataset_name,RF,LCB,12,63.188483238220215,0.4426217628528752,0.4450451018597377,0.017223996518648477,6
dataset_name,RF,LCB,13,67.56151080131531,0.4609108198370226,0.46162838932265,0.03384445342141905,6
dataset_name,RF,LCB,14,62.05219531059265,0.44404229869327616,0.44001962185560356,0.01969746340855152,6
dataset_name,RF,LCB,15,71.42401146888733,0.4212151771045585,0.42024256584206626,0.0046042072393780425,6
dataset_name,RF,LCB,16,57.12803387641907,0.44828388053409424,0.4421432183981738,0.02512832550167608,6
dataset_name,RF,LCB,17,75.63028168678284,0.45766990614171077,0.4573952071057579,0.01176749300325537,40
dataset_name,RF,LCB,18,59.22536516189575,0.45981508810438765,0.46454492217561877,0.01177315069321641,14
dataset_name,RF,LCB,19,69.8777859210968,0.4360980979855091,0.4407749483249172,0.02921497391401405,6
dataset_name,RF,LCB,20,70.48255467414856,0.5034111901787026,0.49054935026695656,0.019557130859273943,6
dataset_name,RF,LCB,21,69.03476071357727,0.4247044076826694,0.4351725515531781,0.03140354773012537,6
dataset_name,RF,LCB,22,61.53624987602234,0.4605261973609971,0.46613526255797577,0.027158465569355663,6
dataset_name,RF,LCB,23,59.322821617126465,0.4015523975257557,0.42627028396889094,0.03528090470523493,6
dataset_name,RF,LCB,24,58.08715033531189,0.43688950348230177,0.42858253025145976,0.028167681568711786,6
dataset_name,RF,LCB,25,60.362083196640015,0.46087772594552995,0.45720506832947494,0.00675800243171093,6
dataset_name,RF,LCB,26,69.51366114616394,0.4557388662059034,0.4562266800104452,0.03694770237724636,6
dataset_name,RF,LCB,27,66.77269077301025,0.45735724537295575,0.43869193588117755,0.03139722240460036,6
dataset_name,RF,LCB,28,76.50872373580933,0.46234797341785194,0.46455668651598164,0.014977630739252965,6
dataset_name,RF,LCB,29,63.2613730430603,0.43234540930612314,0.43660202025241335,0.024182307515444364,6
dataset_name,RF,LCB,30,62.211952209472656,0.44187943114093153,0.45442783783101737,0.04670863546885136,6
dataset_name,RF,LCB,31,73.49707698822021,0.40789097837314997,0.4302176452343319,0.044387252314603075,6
dataset_name,RF,LCB,32,63.36855626106262,0.4835995778982722,0.4616216576242872,0.029434434667915597,6
dataset_name,RF,LCB,33,66.49305486679077,0.4491576785531357,0.4518414732024551,0.02308858634930407,6
dataset_name,RF,LCB,34,73.24637913703918,0.4467940030828654,0.45407019507289553,0.023850872924414394,6
dataset_name,RF,LCB,35,62.908043384552,0.43223040502824084,0.43538261517579546,0.02792039508564479,6
dataset_name,RF,LCB,36,61.63069558143616,0.4129219075756038,0.4203848986477423,0.03830214102738835,6
dataset_name,RF,LCB,37,64.73285794258118,0.4628904587532275,0.46425296970558516,0.02343980771774788,6
dataset_name,RF,LCB,38,66.68447661399841,0.46567050070849514,0.4569388618143133,0.01877294640763152,6
dataset_name,RF,LCB,39,54.2003493309021,0.4444610673097178,0.44712279513858644,0.026142301059486537,6
dataset_name,RF,LCB,40,66.46653866767883,0.44745040998461644,0.45694865588043054,0.03855684117741619,6
dataset_name,RF,LCB,41,72.28628039360046,0.4284587048892307,0.43412975503048334,0.02540233486676948,6
dataset_name,RF,LCB,42,74.74473357200623,0.4153919229283396,0.4359457941487169,0.039153770255187625,6
dataset_name,RF,LCB,43,65.52610468864441,0.45346925301044116,0.44465751539597065,0.03568311682269526,6
dataset_name,RF,LCB,44,59.6474027633667,0.45728852347282434,0.45600189794435686,0.020621347374459493,6
dataset_name,RF,LCB,45,81.59159588813782,0.447194203295644,0.4429910173889756,0.03128596808523311,6
dataset_name,RF,LCB,46,62.175265312194824,0.454752952610283,0.4574066039286121,0.022524460040533836,6
dataset_name,RF,LCB,47,56.66151404380798,0.4504368385532376,0.4463079102528994,0.01165949229521719,6
dataset_name,RF,LCB,48,66.17339253425598,0.44797198132277516,0.4431397900465465,0.017725606530476428,6
dataset_name,RF,LCB,49,67.95946550369263,0.4215032569037904,0.4282431221865419,0.03518089601522688,6
