dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,eta,num_topics
dataset_name,RF,LCB,39,21.843419551849365,0.39707336002005955,0.3768540429537082,0.04617834839642476,0.14969246159825828,1.6091922804799919,13
dataset_name,RF,LCB,40,22.271867990493774,0.37595817464634496,0.38135524349696776,0.010071625116584446,0.14026018241112254,1.6136594577399581,13
dataset_name,RF,LCB,41,27.111204862594604,0.4041424692851459,0.3981665422616017,0.014728061566841465,0.3983680416375991,0.044403576919994955,20
dataset_name,RF,LCB,42,26.5744411945343,0.3840538462019926,0.37949979758058555,0.013868596508668984,0.3411002610268312,1.0040864697295122,11
dataset_name,RF,LCB,43,27.183501482009888,0.34072398898359185,0.3462496569335477,0.01443393761353034,0.3850040971853821,1.5953899876739315,9
dataset_name,RF,LCB,44,26.301847457885742,0.3910827661643605,0.3867459209173234,0.01863176750438578,0.33761794524417826,0.7513153232109155,12
dataset_name,RF,LCB,45,27.805423259735107,0.4029165785479519,0.3976422711099872,0.012954242659461435,0.3988789694456999,0.20885891923007316,17
dataset_name,RF,LCB,46,28.978456735610962,0.39681174673354647,0.40467481291713653,0.014335027238300232,0.3987088904975845,1.7044767079933492,20
dataset_name,RF,LCB,47,28.0970139503479,0.4008260643617273,0.3954582616796133,0.027194294665917513,0.3990856562977055,0.357883653032691,25
dataset_name,RF,LCB,48,20.638952255249023,0.3861685591321041,0.39277078240886565,0.01590333741147652,0.1644771156274096,0.028456773000641145,12
dataset_name,RF,LCB,49,24.216377019882202,0.3927676410168562,0.40340740497330047,0.03828623946754424,0.39422226141343225,0.04055098428854484,12
