dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),num_topics
dataset_name,RF,LCB,0,192.2657928466797,0.5056304424299792,0.4992422409446434,0.01768823432730712,25
dataset_name,RF,LCB,1,174.12003684043884,0.5096402697480871,0.5034207607816719,0.01980537722628574,49
dataset_name,RF,LCB,2,121.69091773033142,0.5535142262296642,0.5563294961554348,0.022564192185369043,7
dataset_name,RF,LCB,3,106.1143491268158,0.512410382764843,0.5175312385072254,0.016412302415673676,6
dataset_name,RF,LCB,4,98.29333186149597,0.5295202155481673,0.5375435035694307,0.021200516020544662,5
dataset_name,RF,LCB,5,144.93702602386475,0.5119208518051219,0.5073837291431063,0.015235627503509692,17
dataset_name,RF,LCB,6,116.68378829956055,0.5226517387060696,0.5224389540371994,0.014170835089921709,10
dataset_name,RF,LCB,7,107.19309687614441,0.4896762792287864,0.49290983770006863,0.022923922343743942,5
dataset_name,RF,LCB,8,114.51064872741699,0.5751240893695272,0.5680931713985611,0.020644368164780984,7
dataset_name,RF,LCB,9,97.08919978141785,0.5464187956868414,0.5401730465090802,0.0262922487818074,8
dataset_name,RF,LCB,10,100.23750424385071,0.5458088582072496,0.5470531459489744,0.019050187979707936,7
dataset_name,RF,LCB,11,98.25067448616028,0.5366716913008615,0.5362983478972342,0.0331844748477139,7
dataset_name,RF,LCB,12,105.84761762619019,0.5508945558321937,0.5719070678460795,0.0262918951563091,7
dataset_name,RF,LCB,13,125.96337747573853,0.5427174200683642,0.532694416217783,0.030466419822124807,7
dataset_name,RF,LCB,14,120.30186128616333,0.5266794621080716,0.526388637824819,0.04942828174093254,7
dataset_name,RF,LCB,15,100.73322033882141,0.5128712447625798,0.5097684757555259,0.047363118520965204,7
dataset_name,RF,LCB,16,103.5065701007843,0.5593052440997406,0.545862362380225,0.045696817372469965,7
dataset_name,RF,LCB,17,88.89102435112,0.5449472519773084,0.5367506073474917,0.05504019111746567,7
dataset_name,RF,LCB,18,105.68024396896362,0.5634066658836118,0.5434333298201159,0.0482793649608739,7
dataset_name,RF,LCB,19,102.1328022480011,0.5181848958197841,0.5335799666380224,0.03158598251837901,7
dataset_name,RF,LCB,20,101.8635458946228,0.5561440333651941,0.5532653755716698,0.026044536785201553,7
dataset_name,RF,LCB,21,106.94337010383606,0.5297710824476279,0.5429715094856618,0.054244602267768484,7
dataset_name,RF,LCB,22,107.41602826118469,0.5573545481117458,0.5540681994848021,0.02478626400997494,7
dataset_name,RF,LCB,23,102.75157642364502,0.5035612583886195,0.49265503447344594,0.028050162145464654,7
dataset_name,RF,LCB,24,102.55548357963562,0.5342557843938892,0.5286012333115704,0.060139091667103385,7
dataset_name,RF,LCB,25,100.12964797019958,0.5554467066170198,0.5459607434527856,0.030545624458492838,7
dataset_name,RF,LCB,26,99.3712728023529,0.5723625205693156,0.5593047196427665,0.03225651763225154,7
dataset_name,RF,LCB,27,85.67732286453247,0.5759378243546793,0.5611101410616521,0.04925377739731647,7
dataset_name,RF,LCB,28,110.94214177131653,0.5367697982983345,0.5390463215737995,0.028416649251513514,7
dataset_name,RF,LCB,29,98.52572703361511,0.581032668589604,0.5774831766644207,0.025071463757839235,7
dataset_name,RF,LCB,30,107.93016624450684,0.5558713461412208,0.5507164925415239,0.023930802026017377,7
dataset_name,RF,LCB,31,102.30200719833374,0.5235469260578133,0.5501184170956318,0.03829125125188223,7
dataset_name,RF,LCB,32,98.70922636985779,0.5573617173375928,0.550126151214742,0.012979285286938973,7
dataset_name,RF,LCB,33,83.3069121837616,0.5211137397751172,0.5192755726679137,0.019796717791526208,7
dataset_name,RF,LCB,34,108.56214833259583,0.5567444480564833,0.5445889066730099,0.02255519850958169,7
dataset_name,RF,LCB,35,100.1833860874176,0.515523540946595,0.5144998949908185,0.049334860934476255,7
dataset_name,RF,LCB,36,103.64565539360046,0.5736634185014561,0.5541763120997016,0.04746027965682764,7
dataset_name,RF,LCB,37,93.41293358802795,0.5352139840285569,0.5450783314979528,0.053064816808977185,7
dataset_name,RF,LCB,38,105.86758708953857,0.5598576101860397,0.5473110008761068,0.03267688243223491,7
dataset_name,RF,LCB,39,107.19871759414673,0.5582740645863612,0.551128295017521,0.019845653613276518,7
dataset_name,RF,LCB,40,112.28495407104492,0.5700408478650419,0.5619745279405155,0.029353883506272466,7
dataset_name,RF,LCB,41,105.40127110481262,0.5608688275661243,0.551138916714428,0.019518881135925266,7
dataset_name,RF,LCB,42,98.24399590492249,0.5248698338864062,0.5255413670179854,0.019366079385479282,7
dataset_name,RF,LCB,43,107.31877374649048,0.5432546049207901,0.5479708627456609,0.021953778298810976,7
dataset_name,RF,LCB,44,109.5242657661438,0.534612473616203,0.5175968853809538,0.030776227866233595,7
dataset_name,RF,LCB,45,114.38973593711853,0.5119578428629363,0.5185142891072362,0.014020698417191602,7
dataset_name,RF,LCB,46,101.24516534805298,0.5236015498444376,0.5260235944628728,0.018582815756883916,7
dataset_name,RF,LCB,47,95.52082252502441,0.5306160550689089,0.5320655623736487,0.02548867205123004,7
dataset_name,RF,LCB,48,111.90993571281433,0.5699849631536001,0.5631697040553771,0.03681440811183285,7
dataset_name,RF,LCB,49,110.5205237865448,0.5458742307096733,0.5368296802107471,0.03469186313595842,7
