dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),num_topics
dataset_name,RF,LCB,0,24.273734092712402,0.3996718368271753,0.395177591779886,0.016592004909604587,25
dataset_name,RF,LCB,1,30.234058141708374,0.4178015236939885,0.41118316918980324,0.013365886180598504,49
dataset_name,RF,LCB,2,17.944108486175537,0.344739952932516,0.36113295958062086,0.04420724623114466,7
dataset_name,RF,LCB,3,19.078953504562378,0.3379352883977967,0.36216917046855895,0.06340972864237686,6
dataset_name,RF,LCB,4,17.40118980407715,0.32609215792705026,0.342238654651235,0.052260392753487366,5
dataset_name,RF,LCB,5,21.57924175262451,0.4106147735218761,0.4047342235193976,0.015509870859628065,17
dataset_name,RF,LCB,6,29.288241863250732,0.3998242145112236,0.40211640655018144,0.005585314058557205,47
dataset_name,RF,LCB,7,25.444291353225708,0.40564394579746293,0.40719841333187645,0.015463137126605903,33
dataset_name,RF,LCB,8,26.883125066757202,0.40988117887416126,0.4116955864802865,0.008080939430301422,39
dataset_name,RF,LCB,9,23.71503782272339,0.4033211208857888,0.41677494761602973,0.02348701927415673,25
dataset_name,RF,LCB,10,23.124961614608765,0.41967110261117074,0.415732014562325,0.010035152275576106,23
dataset_name,RF,LCB,11,22.682517766952515,0.4306806145422997,0.4233571011599415,0.03160164160456756,21
dataset_name,RF,LCB,12,23.099738121032715,0.4123141223147783,0.40880659762161403,0.009015390175779995,20
dataset_name,RF,LCB,13,22.847830057144165,0.4118612837790984,0.4023767059850699,0.01859090453856272,19
dataset_name,RF,LCB,14,21.992132663726807,0.40671220916042217,0.41138603492136366,0.014147370785347148,19
dataset_name,RF,LCB,15,22.083906650543213,0.4145525934019974,0.4211508554657376,0.02355932925729912,19
dataset_name,RF,LCB,16,21.693058490753174,0.38675524086887497,0.38228906517285843,0.020433717604620545,19
dataset_name,RF,LCB,17,22.264233350753784,0.37044758866779387,0.3892446299592272,0.0286747162989598,19
dataset_name,RF,LCB,18,19.75351595878601,0.38480367160204876,0.3993033799297507,0.023238248795693917,14
dataset_name,RF,LCB,19,22.150981903076172,0.4045317830646217,0.38701381712741034,0.025510014019192277,18
dataset_name,RF,LCB,20,20.0392165184021,0.4132468696840782,0.3983896954403038,0.03010763530807769,16
dataset_name,RF,LCB,21,20.09963345527649,0.4005338562765315,0.40206594807431173,0.014834137584875826,16
dataset_name,RF,LCB,22,20.065622806549072,0.41352431166244746,0.4152471764297793,0.016070677252107098,16
dataset_name,RF,LCB,23,20.019192218780518,0.39363060940982275,0.4034786830026607,0.01604374308283146,16
dataset_name,RF,LCB,24,20.231146574020386,0.3785722733160551,0.3858546698836165,0.01609875067867218,16
dataset_name,RF,LCB,25,20.492584943771362,0.40298875900115755,0.40162965988445853,0.00899271644215757,16
dataset_name,RF,LCB,26,22.734381675720215,0.40799209576809076,0.40347956422128906,0.02245144294463152,20
dataset_name,RF,LCB,27,19.20189332962036,0.4095943336419119,0.4140513765825079,0.016897479855537956,12
dataset_name,RF,LCB,28,19.43723177909851,0.4122336787563242,0.4126201683161274,0.013792713598517352,13
dataset_name,RF,LCB,29,19.536132097244263,0.38530352369264786,0.3975698132405828,0.01954236914918208,13
dataset_name,RF,LCB,30,19.030144691467285,0.41778136408271044,0.41756675540269017,0.009415274054345562,12
dataset_name,RF,LCB,31,19.307682991027832,0.3872823286396001,0.39147887359925304,0.028874001058931394,12
dataset_name,RF,LCB,32,19.63802742958069,0.40126868373900343,0.4060546716284715,0.013426444787008487,12
dataset_name,RF,LCB,33,19.32117986679077,0.38794128374428377,0.38367876130013406,0.02496524001046471,12
dataset_name,RF,LCB,34,19.02087140083313,0.41065128025550235,0.3990268778512552,0.033122857209291125,11
dataset_name,RF,LCB,35,18.59119415283203,0.40126341230157314,0.3943883059970554,0.03159496362201821,10
dataset_name,RF,LCB,36,19.07506537437439,0.412122194621951,0.4007181279897547,0.026841215100613037,11
dataset_name,RF,LCB,37,18.854893922805786,0.3954928073718859,0.3945159673265005,0.03094192207765847,11
dataset_name,RF,LCB,38,19.21854877471924,0.41289852219796425,0.40909632649476724,0.023780750307418975,11
dataset_name,RF,LCB,39,18.72247338294983,0.4027208331858724,0.4057581786295401,0.04712620944755277,10
dataset_name,RF,LCB,40,18.75282120704651,0.4161991417886563,0.41572858150510406,0.023363221750985326,10
dataset_name,RF,LCB,41,18.71303701400757,0.39964165874596563,0.40403642742644863,0.027840742634315484,10
dataset_name,RF,LCB,42,18.689690828323364,0.4054195579080597,0.39990381939009056,0.016219515080631332,9
dataset_name,RF,LCB,43,18.7397940158844,0.40259914013944076,0.40754555875297915,0.016576145594137216,9
dataset_name,RF,LCB,44,18.589560508728027,0.4156876190928421,0.3991302584088232,0.029388418354522765,9
dataset_name,RF,LCB,45,18.35200786590576,0.4389085033511668,0.4289531638755978,0.035577828355899635,9
dataset_name,RF,LCB,46,18.317473888397217,0.3984013534827191,0.39743857746827566,0.037062968295359724,9
dataset_name,RF,LCB,47,18.396303415298462,0.3929804527960128,0.4225244184975795,0.0497865022610226,9
dataset_name,RF,LCB,48,18.640828371047974,0.4203610106061634,0.4171135044196759,0.027527742512091752,9
dataset_name,RF,LCB,49,18.239405870437622,0.39364757203334977,0.3824069258484483,0.028113407908191522,9
