dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),dropout,num_layers,num_neurons,num_topics
dataset_name,RF,LCB,0,127.25287914276123,0.4666371456571756,0.4666333201382814,0.05059421387686123,0.46174495687047284,4,300,11
dataset_name,RF,LCB,1,113.05057716369629,0.35636751719013715,0.3460998758603089,0.03612287076665611,0.5632023873137675,1,100,23
dataset_name,RF,LCB,2,151.59907984733582,0.45141364739998385,0.45353012125237413,0.020445865954817767,0.1286808174816518,3,300,15
dataset_name,RF,LCB,3,158.60243153572083,0.2707025545518423,0.2595876279902216,0.024450437546025085,0.8145201153146736,5,100,49
dataset_name,RF,LCB,4,89.57355523109436,0.4037271711211663,0.40186458633784206,0.01549835274416516,0.33013488713698086,2,100,15
dataset_name,RF,LCB,5,103.37212491035461,0.44886683683033646,0.43203452231438144,0.034155034895170654,0.4218064379792254,3,100,9
dataset_name,RF,LCB,6,166.12000012397766,0.2642801495151568,0.26782560013576767,0.015702283039161394,0.7880948334946438,5,200,50
dataset_name,RF,LCB,7,149.9331521987915,0.4590362301309242,0.44191789678709953,0.03063957712990495,0.0538640214599717,2,100,15
dataset_name,RF,LCB,8,108.74972820281982,0.4241518552916794,0.4274547125936077,0.030004934956662718,0.439986154444605,4,300,13
dataset_name,RF,LCB,9,101.66173267364502,0.4173061426925402,0.4141304839017213,0.028194649036956627,0.4689895031311479,5,300,8
dataset_name,RF,LCB,10,123.47576451301575,0.32838893202447295,0.3184876938359296,0.01960991353529697,0.10902868465082842,5,300,43
dataset_name,RF,LCB,11,96.60160946846008,0.28909848588778747,0.3002220911152237,0.03183256333449238,0.8658851851473857,5,200,8
dataset_name,RF,LCB,12,79.01372075080872,0.34056896298802075,0.3509344375720009,0.02645376775185999,0.6610237091035271,2,300,2
dataset_name,RF,LCB,13,96.59579539299011,0.37086340905005477,0.37269504064072023,0.02435787454923206,0.38163425745221613,5,300,2
dataset_name,RF,LCB,14,130.8199818134308,0.3045440166174469,0.31149619907306614,0.022825802898633823,0.5148181650775908,3,300,44
dataset_name,RF,LCB,15,126.8675742149353,0.3061802802953783,0.30349303238312897,0.009197944654513748,0.4587286937285812,3,100,49
dataset_name,RF,LCB,16,109.55178427696228,0.4294532148272854,0.41779039043447314,0.035403491086407925,0.4795974197886903,3,300,13
dataset_name,RF,LCB,17,93.67666411399841,0.4351247799186707,0.42096966635456246,0.032378182298044365,0.49200863015873564,3,200,11
dataset_name,RF,LCB,18,111.27512121200562,0.4011699385098267,0.3962842696150056,0.0261327172279118,0.4995694785947782,3,200,12
dataset_name,RF,LCB,19,124.36534881591797,0.3328425119571644,0.32099587542347535,0.025796857761095963,0.4274468740475205,1,300,32
dataset_name,RF,LCB,20,116.96163010597229,0.5081090940033527,0.4826831297881105,0.03982512499924671,0.2078146457383152,5,100,11
dataset_name,RF,LCB,21,134.17343187332153,0.49247048089466827,0.5218340793574536,0.05319422767522628,0.22519797275863504,5,100,9
dataset_name,RF,LCB,22,134.29255414009094,0.41872326212569017,0.4164235560587783,0.02426562431200348,0.18157851566523153,5,100,20
dataset_name,RF,LCB,23,95.5883047580719,0.4032963527234019,0.3848223551096299,0.024240058527239202,0.20949840232174216,5,100,2
dataset_name,RF,LCB,24,136.00982999801636,0.5314773975495943,0.514327593814423,0.03393015327288313,0.038583378576694964,5,100,9
dataset_name,RF,LCB,25,120.14062261581421,0.4984136920475929,0.4923864390613485,0.029366282016582517,0.05237441809077476,5,100,7
dataset_name,RF,LCB,26,97.48407793045044,0.3805898986518707,0.3749410912905975,0.011112010614783622,0.022574619165800083,5,200,3
dataset_name,RF,LCB,27,129.6037449836731,0.5157641435530755,0.514496516108127,0.015422558556168007,0.05932292965566954,5,200,9
dataset_name,RF,LCB,28,110.49600958824158,0.4796564908692494,0.486531297192188,0.027446127438646505,0.08202101290586261,5,300,8
dataset_name,RF,LCB,29,128.89708590507507,0.39046421978445667,0.39585236310573035,0.04788337931899179,0.03335927023055069,5,100,22
dataset_name,RF,LCB,30,132.87440395355225,0.47971473817034255,0.48658840908707895,0.013651249042435582,0.04430166628807233,5,200,7
dataset_name,RF,LCB,31,115.709627866745,0.5084160810016075,0.49374813727885913,0.02432986373856607,0.039430569520985614,5,200,11
dataset_name,RF,LCB,32,139.84411072731018,0.502166322307202,0.5016471130110824,0.014623025626284388,0.0004358223985743537,5,300,12
dataset_name,RF,LCB,33,118.85242414474487,0.46927546959256555,0.4728734117325388,0.041992161089114875,0.02881887435021824,5,100,6
dataset_name,RF,LCB,34,119.55391097068787,0.4895730315973567,0.4848971803231289,0.02851048464032161,0.019552160206890514,5,200,12
dataset_name,RF,LCB,35,108.20581698417664,0.49885589600032865,0.4850584442497242,0.02326451664755877,0.011911763483103695,3,100,11
dataset_name,RF,LCB,36,93.797189950943,0.37948757978845354,0.37514477520805223,0.020016726721261455,0.045771913482875376,5,200,3
dataset_name,RF,LCB,37,138.83817625045776,0.47524566172287824,0.478247281754837,0.015226883134315859,0.044981345634035545,5,200,6
dataset_name,RF,LCB,38,104.45796966552734,0.4915172543437668,0.4838702676695461,0.029672134592930256,0.03138418327587265,5,200,13
dataset_name,RF,LCB,39,127.58159399032593,0.4821636689644453,0.4854835428941451,0.027619442242033533,0.1751589723053175,5,200,9
dataset_name,RF,LCB,40,119.92517948150635,0.47194342642081594,0.46624897772485924,0.047049253041040635,0.0361087209495278,2,100,7
dataset_name,RF,LCB,41,189.15469551086426,0.49837060676110745,0.4996335603963119,0.01516079114565617,0.043903247188705,5,100,13
